Year,Stages,RidersStarted,RidersFinished,Distance (km),Hour,Minutes,Seconds,WinnersPace,Winner,Country,Age
1952,23,122,78,4898,151,57,20,32.23,F. Coppi,Ita,33
1953,22,119,76,4476,129,23,25,34.59,L. Bobet,Fra,28
1954,23,110,69,4656,140,6,5,33.23,L. Bobet,Fra,29
1955,22,130,69,4495,130,29,26,34.45,L. Bobet,Fra,30
1956,22,120,88,4498,124,1,16,36.27,R. Walkowiak,Fra,29
1957,22,120,56,4669,135,44,42,34.52,J. Anquetil,Fra,23
1958,24,120,78,4319,116,59,5,36.92,C. Gaul,Lux,26
1959,22,120,65,4358,123,46,45,35.47,F. Bahamontes,Esp,31
1960,22,128,81,4173,112,8,42,37.21,G. Nencini,Ita,30
1961,21,132,72,4397,122,1,33,36.03,J. Anquetil,Fra,27
1962,22,149,94,4274,114,31,45,37.32,J. Anquetil,Fra,28
1963,21,130,76,4138,113,30,5,37.09,J. Anquetil,Fra,29
1964,22,132,81,4504,127,9,44,35.42,J. Anquetil,Fra,30
1965,22,130,96,4188,116,42,6,35.89,F. Gimondi,Ita,23
1966,22,130,82,4329,117,34,21,36.76,L. Aimar,Fra,25
1967,22,130,88,4779,136,53,50,34.76,R. Pingeon,Fra,27
1968,22,110,63,4492,133,49,32,33.56,J. Janssen,Ned,28
1969,22,130,86,4117,116,16,2,35.41,E. Merckx,Bel,24
1970,23,150,100,4254,119,31,49,35.59,E. Merckx,Bel,25
1971,20,130,94,3608,96,45,14,38.08,E. Merckx,Bel,26
1972,20,132,88,3846,108,17,18,35.51,E. Merckx,Bel,27
1973,20,132,87,4090,122,25,34,33.41,L. Ocana,Esp,28
1974,22,130,105,4098,116,16,58,35.24,E. Merckx,Bel,29
1975,22,140,86,4000,114,35,31,34.91,B. Thévenet,Fra,27
1976,22,130,87,4017,116,22,23,34.52,L. Van Impe,Bel,30
1977,22,100,53,4096,115,38,30,35.42,B. Thévenet,Fra,29
1978,22,110,78,3908,108,18,0,36.08,B. Hinault,Fra,24
1979,24,150,90,3765,103,6,50,36.51,B. Hinault,Fra,25
1980,22,130,85,3842,109,19,14,35.14,J. Zoetemelk,Ned,34
1981,24,150,121,3753,96,19,38,38.96,B. Hinault,Fra,27
1982,21,169,125,3507,92,8,46,38.06,B. Hinault,Fra,28
1983,22,140,88,3809,105,7,52,36.23,L. Fignon,Fra,23
1984,23,170,124,4021,112,3,40,35.88,L. Fignon,Fra,24
1985,22,180,144,4109,113,24,23,36.23,B. Hinault,Fra,31
1986,23,210,132,4094,110,35,19,37.02,G. LeMond,USA,25
1987,25,207,135,4231,115,27,42,36.65,S. Roche,Irl,28
1988,22,198,151,3286,84,27,53,38.91,P. Delgado,Esp,28
1989,21,198,138,3285,87,38,35,37.49,G. LeMond,USA,28
1990,21,198,156,3504,90,43,20,38.62,G. LeMond,USA,29
1991,22,198,158,3914,101,1,20,38.75,M. Indurain,Esp,27
1992,21,198,130,3983,100,49,30,39.5,M. Indurain,Esp,28
1993,20,180,136,3714,95,57,9,38.71,M. Indurain,Esp,29
1994,21,189,117,3978,103,38,38,38.38,M. Indurain,Esp,30
1995,20,189,115,3635,92,44,59,39.19,M. Indurain,Esp,31
1996,21,198,129,3765,95,57,16,39.23,B. Riis,Dan,32
1997,21,198,139,3950,100,30,35,39.24,J. Ullrich,Ger,24
1998,21,189,96,3875,92,49,46,39.98,M. Pantani,Ita,28
1999,20,180,141,3870,91,32,16,40.28,L. Armstrong,USA,28
2000,21,177,128,3662,92,33,8,39.57,L. Armstrong,USA,29
2001,20,189,144,3458,86,17,28,40.07,L. Armstrong,USA,30
2002,20,189,153,3278,82,5,12,39.92,L. Armstrong,USA,31
2003,20,198,147,3427,83,41,12,40.94,L. Armstrong,USA,32
2004,20,188,147,3391,83,36,2,40.55,L. Armstrong,USA,33
2005,21,189,155,3593,86,15,2,41.65,L. Armstrong,USA,34
2006,21,176,139,3657,89,39,30,40.78,O. Pereiro,Esp,30
2007,21,189,141,3570,91,0,26,39.23,A. Contador,Esp,24
2008,21,180,145,3559,87,52,52,40.49,C. Sastre,Esp,33
2009,21,180,156,3460,85,48,35,40.32,A. Contador,Esp,26
2010,20,198,170,3642,91,58,48,39.59,A. Schleck,Lux,25
2011,21,198,167,3630,86,12,22,39.79,C. Evans,Aus,34
2012,20,198,153,3497,87,34,47,39.88,B. Wiggins,Gbr,32
2013,21,198,169,3404,83,56,40,40.54,C. Froome,Gbr,28
2014,21,198,164,3659,89,59,6,40.66,V. Nibali,Ita,29
2015,21,198,160,3354,84,46,14,39.57,C. Froome,Gbr,30
2016,21,198,174,3529,89,4,48,39.57,C. Froome,Gbr,31
2017,21,198,167,3540,86,20,55,41,C. Froome,Gbr,32
2018,21,176,145,3349,83,17,13,40.21,Geraint Thomas,GBR,32
2019,21,176,155,3366,82,57,0,40.58,Egan Bernal,COL,22
2020,21,176,146,3484,87,20,5,39.89,Tadej Pogačar,SLO,22
